#SampleID	Dataset	FullName	Acronyme	Bloc	Condition_01	Condition_02	Time
B1-P-0-T11	1	B1-P-0-T11	B1-P-0-T11	B1	P	0	T11
B1-P-0-T3	2	B1-P-0-T3	B1-P-0-T3	B1	P	0	T3
B1-P-0-T8	3	B1-P-0-T8	B1-P-0-T8	B1	P	0	T8
B1-PC-0-T11	4	B1-PC-0-T11	B1-PC-0-T11	B1	PC	0	T11
B1-PC-0-T3	5	B1-PC-0-T3	B1-PC-0-T3	B1	PC	0	T3
B1-PC-0-T8	6	B1-PC-0-T8	B1-PC-0-T8	B1	PC	0	T8
B1-PC-D1-T11	7	B1-PC-D1-T11	B1-PC-D1-T11	B1	PC	D1	T11
B1-PC-D1-T3	8	B1-PC-D1-T3	B1-PC-D1-T3	B1	PC	D1	T3
B1-PC-D1-T8	9	B1-PC-D1-T8	B1-PC-D1-T8	B1	PC	D1	T8
B1-PC-D2-T11	10	B1-PC-D2-T11	B1-PC-D2-T11	B1	PC	D2	T11
B1-PC-D2-T3	11	B1-PC-D2-T3	B1-PC-D2-T3	B1	PC	D2	T3
B1-PC-D2-T8	12	B1-PC-D2-T8	B1-PC-D2-T8	B1	PC	D2	T8
B1-PC-FM-T11	13	B1-PC-FM-T11	B1-PC-FM-T11	B1	PC	FM	T11
B1-PC-FM-T3	14	B1-PC-FM-T3	B1-PC-FM-T3	B1	PC	FM	T3
B1-PC-FM-T8	15	B1-PC-FM-T8	B1-PC-FM-T8	B1	PC	FM	T8
B1-P-D1-T11	16	B1-P-D1-T11	B1-P-D1-T11	B1	P	D1	T11
B1-P-D1-T3	17	B1-P-D1-T3	B1-P-D1-T3	B1	P	D1	T3
B1-P-D1-T8	18	B1-P-D1-T8	B1-P-D1-T8	B1	P	D1	T8
B1-P-D2-T11	19	B1-P-D2-T11	B1-P-D2-T11	B1	P	D2	T11
B1-P-D2-T3	20	B1-P-D2-T3	B1-P-D2-T3	B1	P	D2	T3
B1-P-D2-T8	21	B1-P-D2-T8	B1-P-D2-T8	B1	P	D2	T8
B1-P-FM-T11	22	B1-P-FM-T11	B1-P-FM-T11	B1	P	FM	T11
B1-P-FM-T3	23	B1-P-FM-T3	B1-P-FM-T3	B1	P	FM	T3
B1-P-FM-T8	24	B1-P-FM-T8	B1-P-FM-T8	B1	P	FM	T8
B2-P-0-T11	25	B2-P-0-T11	B2-P-0-T11	B2	P	0	T11
B2-P-0-T3	26	B2-P-0-T3	B2-P-0-T3	B2	P	0	T3
B2-P-0-T8	27	B2-P-0-T8	B2-P-0-T8	B2	P	0	T8
B2-PC-0-T11	28	B2-PC-0-T11	B2-PC-0-T11	B2	PC	0	T11
B2-PC-0-T3	29	B2-PC-0-T3	B2-PC-0-T3	B2	PC	0	T3
B2-PC-0-T8	30	B2-PC-0-T8	B2-PC-0-T8	B2	PC	0	T8
B2-PC-D1-T11	31	B2-PC-D1-T11	B2-PC-D1-T11	B2	PC	D1	T11
B2-PC-D1-T3	32	B2-PC-D1-T3	B2-PC-D1-T3	B2	PC	D1	T3
B2-PC-D1-T8	33	B2-PC-D1-T8	B2-PC-D1-T8	B2	PC	D1	T8
B2-PC-D2-T11	34	B2-PC-D2-T11	B2-PC-D2-T11	B2	PC	D2	T11
B2-PC-D2-T3	35	B2-PC-D2-T3	B2-PC-D2-T3	B2	PC	D2	T3
B2-PC-D2-T8	36	B2-PC-D2-T8	B2-PC-D2-T8	B2	PC	D2	T8
B2-PC-FM-T11	37	B2-PC-FM-T11	B2-PC-FM-T11	B2	PC	FM	T11
